id,click,hour,C1,C2,C3,C4,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_os,device_make,device_model,device_type,device_conn_type,device_geo_country,C20,C21,C22,C23,C24
10001027878827475902,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,540ffd21,d41d8cd9,7e5068fc,d41d8cd9,7ce6f985,c31b3236,3e4375a8,49f07f69,1,0,13b5bfe9,17035,300,250,1699,0,35,100077,110
10001087425041920789,1,14100100,1010,1,d41d8cd9,d41d8cd9,d41d8cd9,53948aa3,d41d8cd9,7e5068fc,51807715,c6b979cd,c31b3236,026af9dc,d41d8cd9,5,2,12470fe4,16994,320,50,1927,0,547,-1,101
10001141106844968537,0,14100100,1005,0,a4adce6d,448b2638,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,5bc20d3d,c31b3236,750379b5,84a81971,1,0,0b3b97fa,16859,320,50,1887,3,39,-1,23
10001209220324991024,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,323a1c73,c31b3236,f2c39733,0b92b8b2,1,0,b80bb774,16959,320,50,1916,2,39,-1,117
10001300311752502833,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,225d3004,85262c2b,db4fcb5b,df73828e,77ba329c,c31b3236,a608b9c4,c24d731a,1,3,3d26b0b1,16967,320,50,1919,0,169,100108,17
10001360640068147422,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,ea5850c3,85262c2b,a89b3dd2,d41d8cd9,89fad534,c31b3236,fe546279,1f501a69,1,0,e728b477,6638,320,50,581,3,39,-1,23
10001383385576728624,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,22a3f093,85262c2b,7e5068fc,d41d8cd9,c9b9d449,c31b3236,fe546279,3706f444,1,2,dc634e20,16609,320,50,1860,0,803,100019,121
10001397102466801942,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,3a71bbec,85262c2b,7e5068fc,d41d8cd9,28b03c8d,c31b3236,c1aafc7e,f9d0e05f,1,0,ab6c0400,17016,320,50,1873,3,35,100034,23
10001400097588969194,0,14100100,1005,0,eed5e1a9,1b2a3e65,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,3fa34de1,c31b3236,3d517f89,3e238c9b,1,0,7efdfc94,8344,320,50,762,0,43,100032,48
10001633180206353355,0,14100100,1005,0,fe1972d4,368627a8,a89b3dd2,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,c51c2774,c31b3236,fe546279,7a8bb168,1,0,b80bb774,16958,300,250,1916,2,39,-1,117
10001740713300611705,0,14100100,1005,0,f4e01d44,23443497,a89b3dd2,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,436718bb,c31b3236,fe546279,9dd9464e,1,0,cf3fc916,6290,320,50,536,2,303,-1,33
1000174662306057101,0,14100100,1010,1,d41d8cd9,d41d8cd9,d41d8cd9,197e342c,d41d8cd9,7e5068fc,b112241c,5d71563b,c31b3236,e4721cde,4b723440,5,3,1bfad22f,13649,320,50,1449,3,35,-1,13
10001758303928451727,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,dcf11de6,85262c2b,688746e6,fcab6cfa,3f25f0d4,c31b3236,fe546279,b3c97c8d,1,3,0d149b90,16840,320,50,1883,0,1451,100094,17
10001924461632937484,0,14100100,1002,0,05222bb6,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,8e26fd19,51fbf192,c31b3236,fe546279,dddd2053,0,0,c12e01f2,15395,320,50,1687,3,39,100148,23
10001945425016211305,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,0e36e7b3,c31b3236,fe546279,3fba06dc,1,0,e22428cc,6279,320,50,536,2,303,-1,33
10001980022040934937,0,14100100,1005,0,14676398,c43c27cc,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,bdeafea9,c31b3236,fe546279,e227df18,1,0,13b5bfe9,15908,320,50,1752,3,297,100081,82
10002036749532327542,0,14100100,1002,0,96f0f834,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,eb2ad6ea,ae23dc65,c31b3236,9ed98796,01d1e7a3,0,0,c419b06b,10199,320,50,991,3,174,-1,23
10002137754780548729,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,ad7d56b0,5671ef80,7e5068fc,d41d8cd9,3dd6adfa,c31b3236,fe546279,fed6d4e4,1,0,b80bb774,10945,320,50,1120,0,35,100084,79
10002372288944818380,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,a623b36a,85262c2b,f32b0131,d41d8cd9,215359b4,c31b3236,fe546279,e1ef3725,1,2,dcf0d7d2,16989,320,50,1926,3,35,-1,13
10002485825894578406,0,14100100,1005,0,9ec6c3bb,a8427f38,a89b3dd2,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,786846c0,c31b3236,3d517f89,dbe1af4c,1,0,13b5bfe9,16564,320,50,1850,2,303,100076,33
1000264929170799305,0,14100100,1005,0,70911d3e,1b2a3e65,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,55879a56,c31b3236,750379b5,9019be36,1,0,3d26b0b1,16967,320,50,1919,0,169,100108,17
10002721672053881879,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,7ddd1e29,85262c2b,a89b3dd2,d41d8cd9,aac3eeb2,c31b3236,fe546279,9addb187,1,0,eabb18f0,12026,320,50,1248,2,39,-1,13
10002785635207042038,1,14100100,1010,1,d41d8cd9,d41d8cd9,d41d8cd9,a3bbfe74,d41d8cd9,7e5068fc,fa381d21,95cc9d84,c31b3236,fe546279,13c895be,4,0,82a9e4d2,16997,320,50,1929,3,39,-1,23
10002787325960745408,0,14100100,1005,1,060f567a,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,c2863a7a,2f3f71f2,36dfa7ba,381f267c,1,0,959848ca,14915,320,50,1623,3,175,100156,42
10002814565126097475,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,0320719d,c31b3236,fe546279,43b215ae,1,0,3d26b0b1,17037,320,50,1934,2,35,100111,16
1000295078990000806,0,14100100,1005,0,5fa09cb7,8704e43a,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,3ecd9a69,c31b3236,fe546279,1f501a69,1,0,b80bb774,16959,320,50,1916,2,39,100084,117
10003071669070929211,0,14100100,1005,1,de28ac8c,034212b6,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,6880a996,c31b3236,026af9dc,16a8cdcd,1,0,13b5bfe9,16071,320,50,1784,0,175,100081,95
10003095947775830228,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,55738cc5,85262c2b,7e5068fc,20958bfc,fe3fb505,c31b3236,fe546279,a5f9f807,1,0,c12e01f2,15395,320,50,1687,3,39,100148,23
10003181576058111353,0,14100100,1005,0,be6fe9d6,89403ae3,a89b3dd2,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,6f3c2000,c31b3236,fe546279,b3c97c8d,1,0,3da770cc,16554,320,50,1850,2,303,-1,33
10003245227358862617,0,14100100,1005,1,2a42cbee,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,7dd5ec8d,c31b3236,750379b5,b9d2c909,1,0,dc634e20,16709,320,50,1875,2,291,-1,33
10003375081607484379,0,14100100,1005,1,86e7ce37,5fe0bcf8,db4fcb5b,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,7cd9c688,c31b3236,3d517f89,d06a9553,1,0,0b3b97fa,16720,320,50,1876,2,291,-1,33
10003420886958509214,0,14100100,1005,0,8c4d6cf2,7c2b6e61,7103faa6,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,45911c3f,c31b3236,fe546279,03a34ed0,1,0,0b3b97fa,16859,320,50,1887,3,39,-1,23
10003557012012532489,0,14100100,1002,0,de767048,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,447a9f14,839ba8fd,c31b3236,fe546279,6ce4b74e,0,0,13b5bfe9,16974,320,50,1921,3,47,100081,23
10003638264021511569,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,ca1502d1,96b73ddc,db4fcb5b,d41d8cd9,4c3c08fe,c31b3236,fe546279,59a023a5,1,0,3d26b0b1,16966,320,50,1919,0,169,100108,17
10003659805480862226,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,cd5f33ff,c31b3236,fe546279,82a95b3d,1,0,c12e01f2,17037,320,50,1934,2,35,100148,16
10003682453192686846,1,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,ef742723,c31b3236,f3c0fa6b,d0ff0588,1,0,235ec523,17037,320,50,1934,2,35,-1,16
10003796274243548193,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,2be850ea,c31b3236,fe546279,bdb3e85b,1,0,21ad0bd8,17037,320,50,1934,2,35,-1,16
10003805265074913322,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,016f9cb8,85262c2b,7e5068fc,d41d8cd9,24e19cf8,c31b3236,3d517f89,3e238c9b,1,0,dc634e20,16607,320,50,1860,0,803,100019,121
10003882721209312073,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,204456fa,f156d5b5,7e5068fc,4ba2ec75,e9c884af,c31b3236,fe546279,b90cc452,1,0,0de7b6a6,6558,320,50,571,3,39,-1,32
10003994528050050761,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,a86a38b1,c31b3236,79bca3b9,2ca65f58,1,0,ab6c0400,17037,320,50,1934,2,35,100034,16
10004094423294801797,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,a3213fba,c31b3236,f3c0fa6b,22fd16ea,1,0,21ad0bd8,17037,320,50,1934,2,35,-1,16
10004170309940555286,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,8449ae41,c31b3236,f3c0fa6b,6504b7ee,1,0,196accbc,17037,320,50,1934,2,35,-1,16
10004233771699904217,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,a623b36a,85262c2b,f32b0131,d41d8cd9,e2afa521,c31b3236,c8db61a6,09bb6c86,1,3,dcf0d7d2,16989,320,50,1926,3,35,-1,13
10004311641656866260,0,14100100,1005,0,ffa60702,99856628,a89b3dd2,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,7fc3a001,c31b3236,3d517f89,dbe1af4c,1,0,13b5bfe9,16567,320,50,1850,2,303,-1,33
10004358175614052604,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,072ba54e,c31b3236,fe546279,6f4eaee3,1,0,c12e01f2,17037,320,50,1934,2,35,100148,16
10004505770099367365,0,14100100,1005,1,2a42cbee,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,23fc9f16,c31b3236,fe546279,7760e1dc,1,0,dc634e20,16698,320,50,1875,2,291,-1,33
10004517478151987839,0,14100100,1005,0,58cb4eca,368627a8,a89b3dd2,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,a06b5272,c31b3236,e389a212,7240a5d2,1,0,b80bb774,16958,300,250,1916,2,39,100084,117
10004578476099277035,0,14100100,1005,0,70911d3e,1b2a3e65,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,fec02219,c31b3236,f3c0fa6b,22fd16ea,1,0,3d26b0b1,16966,320,50,1919,0,169,100109,17
10004632524794043967,0,14100100,1010,1,d41d8cd9,d41d8cd9,d41d8cd9,e7834082,d41d8cd9,7e5068fc,d2370f72,6829cdcd,c31b3236,e4721cde,d41d8cd9,4,0,048685d9,12472,320,50,1272,3,303,-1,15
10004775928989356492,0,14100100,1005,0,943cad72,c162f9ac,db4fcb5b,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,2689b389,c31b3236,a608b9c4,682e54bd,1,0,0b3b97fa,16859,320,50,1887,3,39,100200,23
10004803037606917880,0,14100100,1005,0,70911d3e,1b2a3e65,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,55879a56,c31b3236,750379b5,9019be36,1,0,3d26b0b1,16966,320,50,1919,0,169,100108,17
1000481020900639840,0,14100100,1010,1,d41d8cd9,d41d8cd9,d41d8cd9,197e342c,d41d8cd9,7e5068fc,261450bc,5ae53879,c31b3236,a608b9c4,82a95b3d,4,2,eabb18f0,487,320,50,110,2,35,-1,16
10005040452558908905,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,f36a51d8,85262c2b,7e5068fc,303574bb,19eed361,c31b3236,fe546279,1c344a58,1,0,c12e01f2,15395,320,50,1687,3,39,100148,23
1000508896365604918,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,65556bb1,c31b3236,fe546279,1c344a58,1,0,c12e01f2,17037,320,50,1934,2,35,100148,16
10005138400599569460,0,14100100,1005,1,286c820c,a9f7f3d1,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,99d70c53,c31b3236,0c23a8bf,02129bb8,1,0,0b3b97fa,16719,320,50,1876,2,291,-1,33
10005201996992365477,0,14100100,1002,0,5e6ad0f9,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,2e23e41e,0a823d12,c31b3236,fe546279,1575da0f,0,0,5dae4296,16989,320,50,1926,3,35,100150,13
10005249081315465621,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,22a3f093,85262c2b,7e5068fc,d41d8cd9,32acfd45,c31b3236,fe546279,25a6087f,1,0,dc634e20,16609,320,50,1860,0,803,100019,121
10005370359452562125,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,22a3f093,85262c2b,7e5068fc,d41d8cd9,5ed33d07,c31b3236,fe546279,2fe715cd,1,2,dc634e20,16609,320,50,1860,0,803,-1,121
10005378575498894403,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,7ddd1e29,85262c2b,a89b3dd2,d41d8cd9,29c2b4ac,c31b3236,fe546279,1c344a58,1,0,00c66f1a,6303,320,50,538,3,39,-1,23
10005438448511348427,1,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,29b0b6eb,c31b3236,f3c0fa6b,03880527,1,0,3da770cc,17037,320,50,1934,2,35,-1,16
10005510843325833550,0,14100100,1005,0,70911d3e,1b2a3e65,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,55879a56,c31b3236,750379b5,9019be36,1,0,3d26b0b1,16966,320,50,1919,0,169,100108,17
10005531794435596008,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,0e8d8390,c31b3236,4aab4dc9,cfc4058b,1,0,c12e01f2,17037,320,50,1934,2,35,100148,16
10005643749611393072,1,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,e8e5305c,c31b3236,fe546279,dd44752a,1,0,ad7532d5,17015,320,50,1872,3,35,-1,23
10005722692746427636,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,1d61bc80,85262c2b,b3e4565b,388592d5,ce9db233,c31b3236,3d517f89,d06a9553,1,0,fc9fdf08,487,320,50,110,2,35,-1,16
10005833306705174295,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,3a71bbec,85262c2b,7e5068fc,d41d8cd9,15b9e2b0,c31b3236,3d517f89,f7dac692,1,2,5269f4d7,17017,320,50,1873,3,35,-1,23
10005892523314807979,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,7ddd1e29,85262c2b,a89b3dd2,d41d8cd9,a7d84d86,c31b3236,fe546279,2e8c1934,1,0,795237fd,4687,320,50,423,3,39,100233,32
10005933497081565300,0,14100100,1010,1,d41d8cd9,d41d8cd9,d41d8cd9,a3bbfe74,d41d8cd9,7e5068fc,1dd7be85,42004daa,c31b3236,a608b9c4,41fb6ada,4,0,0b3b97fa,17003,320,50,1931,3,35,-1,23
10005998220975278505,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,96b8c96a,4f04e5f8,7e5068fc,d41d8cd9,02182282,c31b3236,3d517f89,ebc66ede,1,0,0b3b97fa,16859,320,50,1887,3,39,-1,23
10006135199003553225,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,629d3176,c31b3236,c1aafc7e,918b0612,1,0,19b19ffc,17037,320,50,1934,2,35,-1,16
10006152790951875004,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,dc311ede,c31b3236,3d517f89,3e238c9b,1,0,ab6c0400,17037,320,50,1934,2,35,100034,16
10006210426633986023,0,14100100,1005,1,de28ac8c,034212b6,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,5ce3a7d9,c31b3236,fe546279,8901a4f3,1,0,13b5bfe9,16208,320,50,1800,3,47,100081,23
10006318667340056690,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,016f9cb8,85262c2b,7e5068fc,d41d8cd9,066a2da3,c31b3236,fe546279,b912ff7b,1,0,dc634e20,7187,320,50,574,3,35,-1,23
10006757596683906301,0,14100100,1002,0,d41d8cd9,d41d8cd9,d41d8cd9,64063909,d41d8cd9,d41d8cd9,2d155837,e29d5b29,c31b3236,a608b9c4,2026dc08,0,0,0b3b97fa,10200,320,50,991,3,174,100194,23
10007232126622818623,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,ef6e6261,85262c2b,688746e6,8a74a7f1,73d9bba1,c31b3236,fe546279,56c3dc6b,1,0,e728b477,6560,320,50,571,3,39,-1,32
10007321466863347063,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,3105fa76,c31b3236,fe546279,d3cfe6c8,1,2,c12e01f2,17037,320,50,1934,2,35,100148,16
10007393322156338246,0,14100100,1005,1,2a42cbee,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,edeec205,c31b3236,3d517f89,81af7524,1,0,dc634e20,16695,320,50,1875,2,291,100020,33
10007408053351596828,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,fa41109a,c31b3236,f3c0fa6b,f130949e,1,0,5e08be98,17037,320,50,1934,2,35,-1,16
10007546477856059658,0,14100100,1005,0,5bca826c,a56ec79c,db4fcb5b,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,aa666f0f,c31b3236,fe546279,94a6da70,1,0,8264ee52,16454,320,50,1842,3,47,-1,23
10007759665021904293,0,14100100,1005,1,286c820c,a9f7f3d1,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,ff614d67,c31b3236,3d517f89,3e238c9b,1,0,c419b06b,17011,320,50,1867,3,39,-1,23
10007829601690409901,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,bb90d78a,85262c2b,688746e6,d41d8cd9,81b76ee9,c31b3236,3d517f89,d06a9553,1,0,c419b06b,16615,320,50,1863,3,39,-1,23
10007875652950353891,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,fce7453f,c31b3236,a608b9c4,c7f11c19,1,0,ab6c0400,17037,320,50,1934,2,35,100034,16
10007928782009688145,0,14100100,1010,1,d41d8cd9,d41d8cd9,d41d8cd9,197e342c,d41d8cd9,7e5068fc,37b480c9,a887b0c2,c31b3236,fe546279,d41d8cd9,4,3,dfed5bc1,11360,320,50,1179,3,559,-1,23
10007950800280093652,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,7ddd1e29,85262c2b,a89b3dd2,d41d8cd9,205cde01,c31b3236,3d517f89,0991a3ba,1,2,e22428cc,12026,320,50,1248,2,39,-1,13
10007965750234204665,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,abd04944,c31b3236,fe546279,2fe715cd,1,2,3d26b0b1,17037,320,50,1934,2,35,100111,16
10008115456854546299,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,22a3f093,85262c2b,7e5068fc,d41d8cd9,d70310d1,c31b3236,33561003,55ac7c45,1,0,dc634e20,16609,320,50,1860,0,803,100021,121
10008318110685446611,0,14100100,1005,1,91fd0528,9795d025,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,da372889,c31b3236,3d517f89,3e238c9b,1,0,aafb96b2,6560,320,50,571,3,39,-1,32
10008334239485550469,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,7ddd1e29,85262c2b,a89b3dd2,d41d8cd9,3eef5162,c31b3236,fe546279,3fba06dc,1,0,795237fd,4687,320,50,423,3,39,100233,32
10008651343190068622,0,14100100,1005,1,60ab002c,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,2f194e0f,c31b3236,3d517f89,5340481a,1,0,3d26b0b1,17037,320,50,1934,2,35,100111,16
10008855342242983533,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,96b8c96a,4f04e5f8,7e5068fc,d41d8cd9,2a15f255,c31b3236,3d517f89,3e238c9b,1,0,0b3b97fa,16858,320,50,1887,3,39,-1,23
10008965008609298208,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,d7cccffc,c31b3236,f3c0fa6b,da869f7c,1,0,4e42f7dd,17037,320,50,1934,2,35,-1,16
10009062687620413655,0,14100100,1005,1,f440e761,273fe91c,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,aa8f2993,c31b3236,fe546279,9dd9464e,1,0,0b3b97fa,16722,320,50,1876,2,291,-1,33
10009168801248772414,0,14100100,1005,0,b8970be9,cca8cc18,688746e6,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,811e2e84,c31b3236,3d517f89,dbe1af4c,1,0,b80bb774,10945,320,50,1120,0,35,100084,79
10009175750565302662,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,7ddd1e29,85262c2b,a89b3dd2,d41d8cd9,c7ad5a57,c31b3236,f3c0fa6b,4a3a5faf,1,0,5343b21a,487,320,50,110,2,35,-1,16
10009400929249296183,0,14100100,1005,0,d41d8cd9,d41d8cd9,d41d8cd9,7ddd1e29,85262c2b,a89b3dd2,d41d8cd9,c0d251bc,c31b3236,de6df284,1d54842b,1,0,1cd3c693,6561,320,50,572,3,39,-1,32
10009410940592292307,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,159492d5,c31b3236,f3c0fa6b,38e7b020,1,0,3d26b0b1,17037,320,50,1934,2,35,100111,16
1000954368605688200,0,14100100,1005,0,19521507,d41d8cd9,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,91773556,c06bee91,c31b3236,33561003,826a898e,1,0,ad7532d5,6159,320,50,528,2,291,-1,33
10009567614558159960,0,14100100,1005,1,09ab1430,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,d0d6a8c5,c31b3236,f3c0fa6b,a95919b4,1,0,3da770cc,17037,320,50,1934,2,35,-1,16
1000993227750296149,1,14100100,1005,1,2a42cbee,a56a5285,7e5068fc,d41d8cd9,d41d8cd9,d41d8cd9,d41d8cd9,7b2493c4,c31b3236,fe546279,7760e1dc,1,0,dc634e20,16711,320,50,1875,2,291,100021,33
10010015260589034471,0,14100100,1005,1,d41d8cd9,d41d8cd9,d41d8cd9,ad543662,85262c2b,7e5068fc,d41d8cd9,c94a8b7e,c31b3236,33561003,ec6cbe2d,1,0,d692bc40,16614,320,50,1862,2,39,100063,23
